Coil;H12;W12;T5;T12;C;Mn;Si;V6;V7;V8;V9;V10;V11;V12;Sh7;Sh8;Sh9;Sh10;Sh11;Sh12;Ls;dH;P6;P7;P8;P9;P10;P11;P12;Lcamp;dH;R2;Clyn;Caim;Cfact;AntiPeel;Eddr;Edop;Axe;D10bot;D10top;D11bot;D11top;D12bot;D12top
218099;2,5;1303;1055;854;0,04;0,27;0,02;97;168;266;378;504;641;754;-30;14;-4;-45;-21,99;-4;1025,225;29;2303;2467;1904;1828;1626;1582;1065;54,886;40;0,91;10;35;33;15;125,35;87,17;-18;772,2;772,7;807,5;807,8;820,65;820,8
218100;2,49;1301;1070;858;0,04;0,27;0,02;96;166;260;374;502;637;758;-25;18;3;-44,99;-22;2;1023,082;30;2178;2356;1849;1798;1601;1553;1071;55,911;42;0,93;18;35;31;15;131,99;81,98;-21;772,2;772,7;807,5;807,8;820,65;820,8
218101;2,49;1303;1059;855;0,04;0,27;0,02;97;167;263;377;504;638;754;-29;34;-15;-24,99;-22;-4;1025,576;35;2244;2424;1871;1766;1638;1541;1064;56,921;46;0,93;20;35;35;15;132,56;93,56;-25;772,2;772,7;807,5;807,8;820,65;820,8
218102;2,49;1301;1070;859;0,04;0,27;0,02;98;167;264;377;504;639;751;-25;17;-35;-40,99;-11;2;1022,24;27;2187;2395;1856;1783;1589;1514;1066;57,96;38;0,9;18;35;28;15;135,99;90,56;-16;772,2;772,7;807,5;807,8;820,65;820,8
218103;2,5;1303;1054;854;0,04;0,27;0,02;97;167;262;375;504;640;750;-19;57;-30;-44,99;-11;-4;1021,857;32;2298;2518;1876;1742;1612;1537;1061;58,971;42;0,9;11;35;34;15;132,07;96,86;-19;772,2;772,7;807,5;807,8;820,65;820,8
218104;2,49;1303;1067;856;0,04;0,27;0,02;96;164;259;372;501;637;759;-22;57;18;-24,99;-20;2;1028,174;34;2222;2404;1822;1740;1576;1483;1055;60,004;47;0,94;19;35;37;15;139,41;97,99;-22;772,2;772,7;807,5;807,8;820,65;820,8
93118;3,14;1240;1063;900;0,16;0,43;0,028;105;168;251;348;462;585;694;-55;46;5;-45;0;33;360,648;33;1903;2205;1728;1715;1554;1511;1068;61,02;46;0,93;6;40;38;15;110,86;59,99;-15;772,2;772,7;807,5;807,8;820,65;820,8
93118;3,14;1239;0;884;0,16;0,43;0,028;105;168;255;353;462;583;692;-55;54;-14;-28,97;-18;13;348,914;33;2145;2424;1837;1735;1577;1524;1054;61,393;43;0,88;3;40;37;15;102,35;59,58;-6;772,2;772,7;807,5;807,8;820,65;820,8
93119;3,5;1183;1059;897;0,16;0,44;0,026;110;173;257;352;454;559;650;-55;-9;-49;-45;-20;62;339,355;26;1841;2120;1633;1608;1323;1253;913;61,744;39;0,9;16;40;31;15;115,72;51,47;-10;772,2;772,7;807,5;807,8;820,65;820,8
93119;3,5;1182;0;888;0,16;0,44;0,026;109;173;256;353;455;563;648;-55;-3;-49;-44,97;-20;42;328,819;31;2021;2213;1591;1638;1269;1211;907;62,081;42;0,92;16;40;33;15;113,26;44,54;-11;772,2;772,7;807,5;807,8;820,65;820,8
93120;3,5;1185;1050;892;0,16;0,44;0,026;111;174;255;349;451;560;653;-55;8;-29;-24,97;0;22;336,789;36;1956;2198;1618;1569;1333;1277;887;62,411;49;0,94;25;40;35;15;118,09;58,59;-22;772,2;772,7;807,5;807,8;820,65;820,8
93120;3,5;1184;0;879;0,16;0,44;0,026;109;173;255;351;450;557;653;-55;57;-9;-5;19;2;327,079;38;2141;2369;1691;1660;1334;1275;867;62,747;52;0,94;20;40;39;15;124;58,82;-12;772,2;772,7;807,5;807,8;820,65;820,8
93121;3,49;1184;1064;900;0,16;0,43;0,03;108;167;249;345;448;558;648;-33;57;25;14,03;39;1;338,988;43;1787;1994;1532;1512;1235;1183;861;63,075;64;0,97;14;40;53;15;116,12;52,79;-11;772,2;772,7;807,5;807,8;820,65;820,8
93121;3,49;1183;0;885;0,16;0,43;0,03;110;173;258;355;458;562;647;-60;52;25;34,03;43;21;328,613;37;2056;2212;1667;1668;1259;1262;875;63,413;52;0,96;16;40;43;15;113,86;53,18;-16;772,2;772,7;807,5;807,8;820,65;820,8
93122;3,5;1183;1065;900;0,16;0,43;0,03;110;173;254;349;452;560;649;-60;-6;5;48,03;23,03;41;341,262;28;1820;2129;1547;1587;1327;1224;885;63,743;44;0,94;11;40;36;15;118,36;52,74;-11;772,2;772,7;807,5;807,8;820,65;820,8
93122;3,49;1182;0;888;0,16;0,43;0,03;109;174;257;354;456;562;648;-60;-9;-14,03;28,03;3;34;328,537;24;2035;2232;1685;1663;1317;1243;881;64,083;34;0,88;11;40;28;15;108,05;52,95;-10;772,2;772,7;807,5;807,8;820,65;820,8
93124;3,5;1185;1046;888;0,16;0,43;0,03;107;170;249;346;451;560;648;-60;-3;-34,03;8,03;-4,97;14;339,127;29;1943;2216;1573;1573;1338;1243;865;64,414;47;0,91;8;40;37;15;118,56;66,15;0;772,2;772,7;807,5;807,8;820,65;820,8
93124;3,5;1185;0;874;0,16;0,43;0,03;109;173;255;350;453;562;647;-60;53;-25;-10;14;33;327,969;35;2172;2387;1741;1610;1341;1286;870;64,75;50;0,92;14;40;41;15;118,18;74,21;-4;772,2;772,7;807,5;807,8;820,65;820,8
93123;3,49;1184;1055;895;0,16;0,43;0,03;107;168;247;341;448;559;649;-70;57;-5;-29,97;34;53;339,239;34;1774;2049;1563;1537;1256;1252;866;65,08;53;0,93;6;40;47;15;116,68;70,03;5;772,2;772,7;807,5;807,8;820,65;820,8
93123;3,51;1184;0;881;0,16;0,43;0,03;108;171;252;347;449;558;653;-70;57;13;-34,97;43;55;325,452;34;2067;2331;1650;1663;1260;1255;882;65,418;50;0,92;16;40;41;15;119,35;65,97;-5;772,2;772,7;807,5;807,8;820,65;820,8
93125;3,5;1186;1044;887;0,16;0,43;0,03;109;170;251;349;454;561;648;-35;10;20;24,03;19;32;340,267;39;1975;2137;1648;1592;1305;1174;856;65,746;53;0,93;16;40;43;15;114,13;80,77;-1;772,2;772,7;807,5;807,8;820,65;820,8
93125;3,51;1185;0;873;0,16;0,43;0,03;107;167;248;344;449;560;648;-35;10;20;24,03;19;32;328,204;37;2183;2310;1749;1616;1317;1202;862;66,083;54;0,93;12;40;47;15;121,18;82,92;7;772,2;772,7;807,5;807,8;820,65;820,8
93126;3,48;1183;1067;902;0,16;0,43;0,03;104;161;237;331;442;560;648;-35;10;20;24;19,03;32;340,15;42;1811;1958;1501;1546;1243;1076;852;67,416;61;0,97;27;40;46;15;116,63;56,76;-20;772,2;772,7;807,5;807,8;820,65;820,8
93126;3,49;1183;0;888;0,16;0,43;0,03;109;171;254;354;456;564;646;-35;10;20;24,03;19;32;330,242;39;2038;2088;1630;1639;1214;1110;862;67,756;56;0,96;28;40;41;15;119,13;62,57;-24;772,2;772,7;807,5;807,8;820,65;820,8
93127;3,5;1185;1058;895;0,16;0,43;0,03;112;174;255;352;453;560;646;-25;15;20;24,03;19;43,03;337,918;39;1866;2006;1557;1522;1245;1107;861;69,132;59;0,96;18;40;49;15;122,22;68,66;-19;772,2;772,7;807,5;807,8;820,65;820,8
